"Player","League","Age","wi_star","Salary","SimpPos","PTS","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","fpcBball"
"Jocelyn Willoughby","WNBA",24,4.42105263157895,70127,"F",2.6,11,4,11,1,2.4,0.423,0.3,1,0.273,0.7,1.4,0.533,0.4,0.7,0.5,0.2,1.5,1.6,0.4,0.5,0.2,0.8,0.7,635
"Jonquel Jones","WNBA",28,4.42105263157895,205000,"C",14.6,33,32,26.4,5.3,10.4,0.513,1.2,3.4,0.369,4.1,7,0.582,2.7,3.4,0.802,2.6,6,8.6,1.8,1.1,1.2,2.6,2.7,635
"Kamiah Smalls","WNBA",24,4.42105263157895,4041,"G",1.3,3,0,11.3,0.7,2.7,0.25,0,1.3,0,0.7,1.3,0.5,0,0,NA,0,1.7,1.7,2,1.3,0,1.3,2,635
"Kayla McBride","WNBA",30,4.42105263157895,196267,"G",13.3,31,31,29.8,4.4,10.9,0.405,1.5,4.3,0.356,2.9,6.6,0.437,2.9,3.2,0.909,0.5,2.3,2.8,2.1,1,0.1,1.5,1.4,635
"Kiana Williams","WNBA",23,4.42105263157895,7184,"G",1.3,4,0,7.3,0.5,2,0.25,0.3,1,0.25,0.3,1,0.25,0,0,NA,0,0.5,0.5,1.3,0,0,0.5,0.3,635
"Kristy Wallace","WNBA",26,4.42105263157895,63389,"G",6.6,29,18,20.8,2.3,5.6,0.407,0.9,2.3,0.368,1.4,3.2,0.436,1.1,1.4,0.786,0.6,1.7,2.3,2.2,0.6,0.2,1.5,2,635
"Li Yueru","WNBA",23,4.42105263157895,60471,"C",1.8,16,0,5.1,0.5,1.1,0.444,0,0,NA,0.5,1.1,0.444,0.8,0.8,1,0.3,1.2,1.5,0.1,0.1,0.1,0.8,0.6,635
"Lindsay Allen","WNBA",27,4.42105263157895,12856,"G",6.7,9,0,14.8,2.2,4.2,0.526,0.9,1.6,0.571,1.3,2.7,0.5,1.3,1.4,0.923,0,1.6,1.6,3.4,0.2,0,0.8,1.2,635
"Marina Mabrey","WNBA",26,4.42105263157895,72141,"G",13.6,34,32,28,5.2,12.5,0.42,1.8,5.1,0.351,3.4,7.4,0.468,1.4,2,0.681,0.6,3.1,3.6,3.7,0.8,0.4,2.4,2.5,635
"Marine Johannes","WNBA",27,4.42105263157895,40713,"G",10,24,10,25.5,3.5,7.5,0.464,2.3,5.3,0.437,1.2,2.2,0.528,0.8,1,0.87,0.2,1.5,1.7,3.4,0.6,0.1,1.8,1.6,635
