"Player","Salary","SimpPos","Position","Age","TeamAbb","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","League"
"Nneka Ogwumike",196267,"F","F",32,"LAS",34,34,31.4,7.3,13.5,0.544,0.6,1.7,0.368,6.7,11.8,0.569,2.8,3.4,0.826,1.4,5.2,6.6,2,1.7,0.4,1.8,2.4,18.1,"WNBA"
"Odyssey Sims",12856,"G","G",30,"CON/MIN",7,0,20.8,2.4,7.6,0.321,0.6,2.1,0.267,1.9,5.4,0.342,1.4,2.1,0.667,0.3,1.6,1.9,2.9,1.1,0.3,1.7,1.6,6.9,"WNBA"
"Olivia Nelson-Ododa",63389,"C","C",22,"LAS",30,6,14.5,1.6,2.8,0.56,0,0,NA,1.6,2.8,0.56,0.9,1.2,0.703,1.1,1.8,2.9,0.4,0.3,0.8,1,2.6,4,"WNBA"
"Queen Egbo",66306,"C","C",22,"IND",34,31,21.2,2.8,6.3,0.442,0,0,NA,2.8,6.3,0.442,1.4,2.2,0.645,1.8,4.4,6.1,0.9,0.9,1.2,1.9,2.9,7,"WNBA"
"Rachel Banham",72141,"G","G",29,"MIN",36,5,17.5,2.8,6.5,0.43,1.6,4.1,0.383,1.2,2.4,0.512,0.7,0.8,0.8,0.1,1.3,1.3,2.3,0.3,0.1,1.3,1.7,7.9,"WNBA"
"Rae Burrell",66306,"F","G-F",22,"LAS",3,1,14.5,0.3,3,0.111,0.3,2,0.167,0,1,0,0.7,0.7,1,0.3,0.7,1,0.3,0.7,0,0.3,1.3,1.7,"WNBA"
"Raina Perez",2245,"G","G",24,"SEA",1,0,2.3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,"WNBA"
"Rebecca Allen",141000,"F","F",30,"NYL",25,19,20.9,2.6,6.8,0.379,1,3.3,0.313,1.5,3.4,0.442,0.8,1,0.833,0.3,3,3.4,1.2,0.8,1,1,1.9,7,"WNBA"
"Rebekah Gardner",60471,"G","G",32,"CHI",35,2,21.7,3.3,6.1,0.542,0.4,1.2,0.357,2.9,4.9,0.587,1.4,1.7,0.8,1.3,2,3.3,1.3,1.4,0.5,1.6,2.3,8.4,"WNBA"
"Rennia Davis",19907,"F","F",23,"IND/MIN",8,0,5.4,0.6,1.6,0.385,0,0.3,0,0.6,1.4,0.455,0,0,NA,0.4,0.6,1,0.1,0.3,0,0.4,0.4,1.3,"WNBA"
"Reshanda Gray",71427,"F","F",29,"SEA/PHO",27,0,8.8,0.9,2.1,0.439,0.1,0.5,0.214,0.8,1.6,0.512,0.2,0.3,0.667,0.6,1.4,2,0.4,0.3,0.2,1,2.1,2.2,"WNBA"
"Rhyne Howard",72141,"F","F",22,"ATL",34,34,31.3,5.4,15,0.361,2.5,7.3,0.343,2.9,7.7,0.379,2.9,3.7,0.792,0.8,3.7,4.5,2.8,1.6,0.8,1.6,2.6,16.2,"WNBA"
"Riquna Williams",145000,"G","G",32,"LVA",21,0,18,2.1,5.6,0.381,1.6,4.4,0.366,0.5,1.2,0.44,0.8,1,0.762,0.2,1.8,2,1.2,0.4,0.1,0.3,1.7,6.7,"WNBA"
"Rui Machida",60471,"G","G",29,"WAS",36,2,12.9,0.7,2.3,0.31,0.2,0.9,0.206,0.5,1.4,0.38,0.2,0.3,0.667,0.2,0.9,1.1,2.6,0.4,0.1,1.1,0.7,1.8,"WNBA"
"Ruthy Hebard",73211,"F","F",24,"CHI",24,0,9.7,1,2,0.51,0,0,NA,1,2,0.51,0.3,0.3,0.75,0.3,1.4,1.7,0.5,0.3,0.1,0.5,1.2,2.3,"WNBA"
"Sabrina Ionescu",76297,"G","G",24,"NYL",36,36,32.3,5.9,14.3,0.411,2.3,6.9,0.333,3.6,7.3,0.485,3.4,3.6,0.931,1,6.1,7.1,6.3,1.1,0.3,3,2.1,17.4,"WNBA"
"Sam Thomas",60471,"F","F",23,"PHO",24,0,4.9,0.2,0.8,0.211,0,0.6,0.067,0.1,0.2,0.75,0,0,1,0.1,0.1,0.2,0.3,0.3,0.1,0.2,0.5,0.4,"WNBA"
"Sami Whitcomb",150350,"G","G",34,"NYL",35,6,21.3,2.1,5.7,0.368,1.7,4.8,0.351,0.4,0.9,0.455,0.6,0.7,0.87,0.3,2.1,2.3,2.3,0.7,0.1,1.4,1.6,6.5,"WNBA"
"Satou Sabally",76297,"F","F",24,"DAL",11,6,21.7,3.7,9.4,0.398,0.9,3.9,0.233,2.8,5.5,0.517,2.9,3.2,0.914,0.8,4,4.8,2.1,0.5,0.2,2.3,3.2,11.3,"WNBA"
"Shakira Austin",72141,"C","C",22,"WAS",36,32,21.6,3.4,6.2,0.547,0,0,0,3.4,6.2,0.55,1.9,3,0.624,1.8,4.7,6.4,0.9,0.8,0.8,1.5,2.3,8.7,"WNBA"
"Shatori Walker-Kimbrough",72141,"G","G",27,"WAS",35,3,20.1,2.3,5.7,0.402,0.7,2.1,0.347,1.5,3.5,0.435,1.6,1.7,0.902,0.3,1.5,1.8,1.5,1.1,0.3,1.1,1.2,6.9,"WNBA"
"Shey Peddy",72141,"F","F",34,"PHO",34,24,28.7,3.4,8.2,0.418,1.4,4.3,0.329,2,3.9,0.515,1.6,1.9,0.889,1.3,2.4,3.8,3.4,1.6,0.2,1.4,1.8,9.9,"WNBA"
"Skylar Diggins-Smith",227900,"G","G",32,"PHO",30,30,34,6.9,16.2,0.429,1.3,4.5,0.296,5.6,11.7,0.48,4.5,5.3,0.844,0.9,3.1,4,5.5,1.5,1,2.7,2.7,19.7,"WNBA"
"Sophie Cunningham",75000,"F","F",26,"PHO",28,20,29.5,4.3,9.5,0.449,2.5,6.3,0.4,1.8,3.3,0.543,1.5,1.7,0.875,0.7,3.7,4.4,1.6,1,0.4,1,3.4,12.6,"WNBA"
"Sparkle Taylor",3592,"G","G",27,"CHI",2,0,12.3,2.5,3,0.833,0,0.5,0,2.5,2.5,1,0.5,0.5,1,0,1,1,0,0,0,0.5,1.5,5.5,"WNBA"
"Stefanie Dolson",160000,"C","C",30,"NYL",36,36,23,3.1,6.4,0.493,0.7,1.8,0.394,2.4,4.5,0.534,1.1,1.2,0.905,1.2,3.6,4.8,1.8,0.4,0.8,1.6,3.1,8.1,"WNBA"
"Stephanie Jones",4939,"F","F",24,"WAS/CON",5,0,5.3,0.6,1.6,0.375,0.2,0.4,0.5,0.4,1.2,0.333,0.4,0.4,1,0.2,0.2,0.4,0.4,0.2,0,0,1,1.8,"WNBA"
"Stephanie Talbot",72141,"F","F",28,"SEA",34,1,16.1,1.9,4.1,0.464,0.9,2.1,0.397,1,1.9,0.538,0.4,0.7,0.583,0.7,2.5,3.1,1.3,0.7,0.3,1.1,1.3,5,"WNBA"
"Sue Bird",72141,"G","G",42,"SEA",31,31,26.4,2.7,6.8,0.403,1.8,4.6,0.389,0.9,2.2,0.433,0.5,0.5,1,0.2,1.7,1.9,6,1.2,0.1,1.9,0.7,7.8,"WNBA"
"Sydney Colson",72141,"G","G",33,"LVA",18,0,6.8,0.6,1.8,0.313,0.2,0.6,0.273,0.4,1.2,0.333,0.3,0.3,1,0.2,0.3,0.4,1,0.1,0,0.4,0.8,1.6,"WNBA"
"Sylvia Fowles",2e+05,"C","C",37,"MIN",30,30,27.7,6.1,9.9,0.622,0,0,NA,6.1,9.9,0.622,2.1,3.2,0.66,2.5,7.3,9.8,1.2,1,1.2,2.1,2.4,14.4,"WNBA"
"Teaira McCowan",72141,"C","C",26,"DAL",33,15,18.9,4.2,7,0.602,0,0,NA,4.2,7,0.602,2.5,4.2,0.6,3,4.1,7,0.8,0.3,0.7,1.7,3.1,11,"WNBA"
"Theresa Plaisance",72141,"F","F",30,"LVA",31,2,12.9,1.4,3.7,0.371,1,2.9,0.348,0.4,0.9,0.444,0.2,0.3,0.7,0.5,2.1,2.6,0.5,0.3,0.4,0.6,1.3,4,"WNBA"
"Tianna Hawkins",72141,"F","F",31,"WAS",25,0,12.8,1.8,4.6,0.386,0.6,2.1,0.264,1.2,2.4,0.492,0.8,0.8,0.952,0.6,1.8,2.4,0.8,0.4,0.1,1.2,1.7,4.9,"WNBA"
"Tiffany Hayes",215000,"G","G",33,"ATL",12,11,25.2,5.5,10.1,0.545,1.5,3.5,0.429,4,6.6,0.608,2.3,3.4,0.683,0.3,3.1,3.3,1.9,0.7,0.1,1.8,2.8,14.8,"WNBA"
"Tiffany Mitchell",148400,"F","F",28,"IND",34,8,16.3,2.4,5.4,0.451,0.4,0.9,0.387,2.1,4.4,0.464,1.3,1.5,0.865,0.6,0.6,1.2,1.2,0.8,0.1,0.9,1.4,6.5,"WNBA"
"Tina Charles",90958,"C","C",33,"SEA/PHO",34,26,28.9,5.8,12.7,0.457,1.1,3.2,0.355,4.7,9.5,0.492,2,2.4,0.827,1.5,5.8,7.3,2,0.7,0.7,2.1,2.8,14.8,"WNBA"
"Tina Krajisnik",8532,"F","F-C",31,"CHI",2,0,2.7,0,0.5,0,0,0,NA,0,0.5,0,0,0,NA,0,0,0,1,0.5,0,0,1,0,"WNBA"
"Tyasha Harris",73211,"G","G",24,"DAL",35,5,15.8,2,4.7,0.418,0.5,1.5,0.315,1.5,3.2,0.468,0.5,0.7,0.792,0.2,0.7,0.9,2.8,0.4,0.1,1.1,1,5,"WNBA"
"Veronica Burton",69224,"G","G",22,"DAL",36,6,15.2,0.7,2.1,0.329,0.3,1.2,0.279,0.4,0.9,0.394,0.9,0.9,1,0.5,1,1.5,1.9,0.9,0.3,1,1.4,2.6,"WNBA"
"Victoria Vivians",72141,"G","G",27,"IND",35,30,26.9,3.6,10.7,0.336,1.3,4.5,0.28,2.3,6.2,0.376,1.3,1.8,0.742,0.7,2.9,3.6,2.4,1.1,0.3,2.1,2.4,9.8,"WNBA"
"Yvonne Anderson",23350,"G","G",32,"CON",11,0,9.2,1.1,2.4,0.462,0.4,0.9,0.4,0.7,1.5,0.5,0.6,0.6,1,0.3,0.5,0.8,1.1,0.3,0.2,1,1.3,3.2,"WNBA"
"Yvonne Turner",11250,"G","G",35,"PHO/ATL/MIN",9,2,15.4,1.3,4.1,0.324,0.3,0.8,0.429,1,3.3,0.3,1,1.2,0.818,0.3,1.2,1.6,2,0.3,0,1.4,1.3,4,"WNBA"
