"Player","Salary","SimpPos","Position","Age","TeamAbb","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","League"
"Theo Pinson",1968175,"G","SG",27,"DAL",40,1,8.1,0.8,2.2,0.356,0.6,1.6,0.355,0.2,0.6,0.36,0.3,0.3,0.846,0.3,1.3,1.6,1.2,0.2,0,0.3,0.9,2.4,"NBA"
"Thomas Bryant",1968175,"C","C",25,"DEN/LAL",59,26,18.3,3.9,6.3,0.623,0.4,1,0.441,3.5,5.3,0.658,1.6,2.1,0.738,1.5,4.3,5.7,0.5,0.3,0.5,0.6,1.7,9.8,"NBA"
"Josh Okogie",1968175,"G","SG",24,"PHO",72,26,18.8,2.3,5.8,0.391,0.9,2.7,0.335,1.3,3,0.442,1.9,2.7,0.724,1.5,2,3.5,1.5,0.8,0.5,0.9,1.6,7.3,"NBA"
"Drew Eubanks",1968175,"C","C",25,"POR",78,28,20.3,2.7,4.3,0.641,0.1,0.2,0.389,2.7,4.1,0.655,1.1,1.6,0.664,1.7,3.7,5.4,1.3,0.5,1.3,0.9,2.2,6.6,"NBA"
"Dean Wade",1930681,"F","PF",26,"CLE",44,13,20.3,1.7,4,0.412,1,2.9,0.354,0.6,1.1,0.56,0.3,0.5,0.652,0.5,3,3.4,0.8,0.6,0.5,0.4,2,4.7,"NBA"
"Terance Mann",1930681,"G","SG",26,"LAC",81,36,23.1,3.4,6.5,0.519,1,2.4,0.389,2.4,4,0.598,1.1,1.5,0.78,1,2.5,3.4,2.3,0.5,0.3,1,1.8,8.8,"NBA"
"Jaylen Nowell",1930681,"G","SG",23,"MIN",65,2,19.3,4.3,9.6,0.448,1,3.6,0.289,3.3,6,0.542,1.2,1.5,0.778,0.6,2.1,2.6,2,0.6,0.1,1,1.6,10.8,"NBA"
"Naz Reid",1930681,"C","C",23,"MIN",68,11,18.4,4.6,8.5,0.537,1.1,3.2,0.346,3.5,5.3,0.653,1.3,1.9,0.677,1.1,3.8,4.9,1.1,0.6,0.8,1.4,2.6,11.5,"NBA"
"Jalen McDaniels",1930681,"F","SF",25,"PHI/CHO",80,24,23.9,3.5,7.7,0.455,1,2.9,0.332,2.6,4.8,0.53,1.5,1.7,0.841,0.8,3.5,4.3,1.6,1,0.4,1.2,2.6,9.4,"NBA"
"Daniel Gafford",1930681,"C","C",24,"WAS",78,47,20.6,3.7,5.1,0.732,0,0,NA,3.7,5.1,0.732,1.6,2.4,0.679,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9,"NBA"
