PLAYER,2022 SALARY,2022 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Stefanie Dolson,"$160,000",UFA,36,36,23,8.1,3.1,6.4,49.30%,2.4,4.5,53.40%,0.7,1.8,39.40%,1.1,1.2,90.50%,1.2,3.6,4.8,1.8,1.6,0.4,0.8,3.1
Alysha Clark,"$183,000",UFA,29,29,26.4,8,3.1,6.8,46.40%,2.1,3.3,62.90%,1,3.4,30.30%,0.7,0.8,91.30%,0.8,3.7,4.5,2,1.3,1,0.3,1.9
Kayla Thornton,"$107,040",--,36,35,29.2,8,2.7,5.8,46.90%,2,3.6,55.40%,0.7,2.1,32.50%,1.9,2.3,82.90%,1.8,4.1,5.9,1.8,1.2,1.1,0.6,2.7
Rachel Banham,"$72,141",UFA,36,5,17.5,7.9,2.8,6.5,43.00%,1.2,2.4,51.20%,1.6,4.1,38.30%,0.7,0.8,80.00%,0.1,1.3,1.3,2.3,1.3,0.3,0.1,1.7
Sue Bird,"$72,141",UFA,31,31,26.4,7.8,2.7,6.8,40.30%,0.9,2.2,43.30%,1.8,4.6,38.90%,0.5,0.5,100.00%,0.2,1.7,1.9,6,1.9,1.2,0.1,0.7
Gabby Williams,"$144,000",--,36,36,25.6,7.5,3,6.8,44.40%,2.5,4.8,52.00%,0.5,1.9,25.70%,1,1.3,77.80%,1.2,3.8,5,3.1,1.4,1.5,0.4,1.6
Danielle Robinson,"$155,000",UFA,31,30,23.6,7.4,2.7,6.5,41.90%,2.5,5.3,46.60%,0.3,1.3,22.50%,1.6,1.9,85.00%,0.4,2.5,2.9,3.8,1.6,0.7,0.2,1.4
Napheesa Collier,"$72,141",--,4,4,22.7,7.3,2.8,6.5,42.30%,2.3,4.8,47.40%,0.5,1.8,28.60%,1.3,1.8,71.40%,0.5,2.5,3,1,0.3,0.5,0.3,2.3
Lexie Brown,"$72,141",RFA,34,16,25,7.1,2.7,6.2,44.10%,1.2,2.3,51.30%,1.6,3.9,39.80%,0.1,0.2,66.70%,0.2,2.1,2.3,2.1,0.8,1,0.2,1.3
Queen Egbo,"$66,306",Rookie,34,31,21.2,7,2.8,6.3,44.20%,2.8,6.3,44.20%,0,0,--,1.4,2.2,64.50%,1.8,4.4,6.1,0.9,1.9,0.9,1.2,2.9
Chiney Ogwumike,"$116,390",SuspCE,26,7,18.4,7,2.7,5.7,46.60%,2.3,5,46.90%,0.3,0.7,44.40%,1.4,2,70.60%,2,3.5,5.5,1.1,1.4,0.7,0.3,2.7
Rebecca Allen,"$141,000",UFA,25,19,20.9,7,2.6,6.8,37.90%,1.5,3.4,44.20%,1,3.3,31.30%,0.8,1,83.30%,0.3,3,3.4,1.2,1,0.8,1,1.9
Asia (AD) Durr,"$68,260",--,25,2,14.7,7,2.4,6.1,39.50%,1.5,3.8,38.90%,0.9,2.3,40.40%,1.2,1.6,79.50%,0.3,0.9,1.2,1.2,0.9,0.4,0.2,1.3
Shatori Walker-Kimbrough,"$72,141",UFA,35,3,20.1,6.9,2.3,5.7,40.20%,1.5,3.5,43.50%,0.7,2.1,34.70%,1.6,1.7,90.20%,0.3,1.5,1.8,1.5,1.1,1.1,0.3,1.2
Odyssey Sims,"$3,750",Hardship,7,0,20.8,6.9,2.4,7.6,32.10%,1.9,5.4,34.20%,0.6,2.1,26.70%,1.4,2.1,66.70%,0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6
Odyssey Sims,"$2,678",Hardship,7,0,20.8,6.9,2.4,7.6,32.10%,1.9,5.4,34.20%,0.6,2.1,26.70%,1.4,2.1,66.70%,0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6
Odyssey Sims,"$6,428",UFA,7,0,20.8,6.9,2.4,7.6,32.10%,1.9,5.4,34.20%,0.6,2.1,26.70%,1.4,2.1,66.70%,0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6
Emma Cannon,"$50,713",UFA,24,2,14,6.8,2.5,4.8,52.60%,2.1,4,53.10%,0.4,0.8,50.00%,1.5,2,72.90%,0.9,2.2,3.1,0.5,0.7,0.6,0.1,2
Emma Cannon,"$2,143",Hardship,24,2,14,6.8,2.5,4.8,52.60%,2.1,4,53.10%,0.4,0.8,50.00%,1.5,2,72.90%,0.9,2.2,3.1,0.5,0.7,0.6,0.1,2
DiJonai Carrington,"$62,774",Rookie,36,2,17.5,6.8,2.3,5.6,41.40%,1.8,3.9,46.10%,0.5,1.7,30.60%,1.6,2.1,75.00%,1.1,2.1,3.1,1.1,1.6,0.8,0.1,1.9
Riquna Williams,"$145,000",UFA,21,0,18,6.7,2.1,5.6,38.10%,0.5,1.2,44.00%,1.6,4.4,36.60%,0.8,1,76.20%,0.2,1.8,2,1.2,0.3,0.4,0.1,1.7
Lindsay Allen,"$8,571",UFA,9,0,14.8,6.7,2.2,4.2,52.60%,1.3,2.7,50.00%,0.9,1.6,57.10%,1.3,1.4,92.30%,0,1.6,1.6,3.4,0.8,0.2,0,1.2
Lindsay Allen,"$1,607",UFA,9,0,14.8,6.7,2.2,4.2,52.60%,1.3,2.7,50.00%,0.9,1.6,57.10%,1.3,1.4,92.30%,0,1.6,1.6,3.4,0.8,0.2,0,1.2
Lindsay Allen,"$2,678",UFA,9,0,14.8,6.7,2.2,4.2,52.60%,1.3,2.7,50.00%,0.9,1.6,57.10%,1.3,1.4,92.30%,0,1.6,1.6,3.4,0.8,0.2,0,1.2
