"","year","langcode","language","total","percent","rankinyear"
"211",2010,19,"Ukrainian, Ruthenian, Little Russian",1815,0.000184671229758787,38
"212",2010,20,"Czech",1295,0.000131762668064809,42
"213",2010,21,"Polish",4494,0.000457252069716798,32
"214",2010,22,"Slovak",355,3.61202680795423e-05,46
"215",2010,23,"Serbo-Croatian, Yugoslavian, Slavonian",7699,0.000783351954772947,26
"216",2010,25,"Lithuanian",2469,0.000251213920812366,36
"217",2010,26,"Other Balto-Slavic",1999,0.000203392720819733,37
"218",2010,28,"Armenian",165571,0.0168463912850645,6
"219",2010,29,"Persian, Iranian, Farsi",66967,0.00681370702107805,8
"220",2010,30,"Other Persian dialects",128,1.30236459554406e-05,56
"221",2010,31,"Hindi and related",65257,0.00663971925089209,9
"222",2010,33,"Finnish",1302,0.000132474898702997,41
"223",2010,34,"Magyar, Hungarian",4632,0.000471293188012507,31
"224",2010,36,"Turkish",4270,0.000434460689294777,33
"225",2010,40,"Dravidian",13916,0.00141591450871805,22
"226",2010,43,"Chinese",333886,0.0339719769802988,3
"227",2010,44,"Tibetan",1011,0.000102866453601175,44
"228",2010,45,"Burmese, Lisu, Lolo",5450,0.000554522425446495,28
"229",2010,47,"Thai, Siamese, Lao",27850,0.0028336604676486,16
"230",2010,48,"Japanese",52735,0.0053656403864075,10
"231",2010,49,"Korean",191070,0.0194408440055159,5
"232",2010,50,"Vietnamese",86663,0.00881772054247148,7
"233",2010,51,"Other East/Southeast Asian",28708,0.00292095959444366,15
"234",2010,52,"Indonesian",13034,0.00132617344830635,23
"235",2010,53,"Other Malayan",16844,0.00171383040994876,18
"236",2010,54,"Filipino, Tagalog",222248,0.022613119268006,4
"237",2010,55,"Micronesian, Polynesian",10394,0.00105756075047538,24
"238",2010,56,"Hawaiian",299,3.04224229740371e-05,48
"239",2010,57,"Arabic",41498,0.00422230671764745,12
"240",2010,58,"Near East Arabic dialect",2473,0.000251620909748474,35
"241",2010,59,"Hebrew, Israeli",29413,0.00299269139443261,14
"242",2010,60,"Amharic, Ethiopian, etc.",8463,0.000861086841569484,25
"243",2010,61,"Hamitic",238,2.42158416983974e-05,52
"244",2010,63,"Sub-Saharan Africa",15258,0.00155245929678213,20
"245",2010,74,"Athapascan",132,1.34306348915481e-05,55
"246",2010,75,"Navajo",273,2.77769948893382e-05,49
"247",2010,83,"Keres",176,1.79075131887308e-05,54
"248",2010,93,"American Indian, n.s.",215,2.18756553157792e-05,53
"249",2010,94,"Native",1595,0.000162286838272873,40
"250",2010,96,"Other or not reported",255,2.59455446768543e-05,51
"251",2018,0,"N/A or blank",602825,0.0596629184903532,NA
"252",2018,1,"English",4108477,0.406625021142937,1
"253",2018,2,"German",19450,0.00192500935534752,18
"254",2018,3,"Yiddish, Jewish",1969,0.000194876268415387,38
"255",2018,4,"Dutch",4745,0.000469623104942108,29
"256",2018,5,"Swedish",3622,0.000358477320569086,33
"257",2018,6,"Danish",1094,0.000108275590475588,42
"258",2018,7,"Norwegian",478,4.730871320597e-05,50
"259",2018,10,"Italian",11749,0.00116282441727393,21
"260",2018,11,"French",39993,0.00395819532896727,13
"261",2018,12,"Spanish",3741860,0.370340128863788,2
"262",2018,13,"Portuguese",19640,0.00194381407398587,17
"263",2018,14,"Rumanian",3434,0.00033987054633745,34
"264",2018,15,"Celtic",387,3.83022427002309e-05,51
"265",2018,16,"Greek",3686,0.000364811541584111,31
"266",2018,17,"Albanian",103,1.01941369460563e-05,55
"267",2018,18,"Russian",47840,0.00473483020873138,11
"268",2018,19,"Ukrainian, Ruthenian, Little Russian",2907,0.000287712195166851,36
"269",2018,20,"Czech",1127,0.000111541673186461,41
"270",2018,21,"Polish",7296,0.00072210119571288,23
"271",2018,22,"Slovak",518,5.12676013403608e-05,48
"272",2018,23,"Serbo-Croatian, Yugoslavian, Slavonian",5324,0.000526928010687414,28
"273",2018,25,"Lithuanian",546,5.40388230344343e-05,47
"274",2018,26,"Other Balto-Slavic",3638,0.000360060875822843,32
"275",2018,28,"Armenian",169458,0.0167716316369399,6
"276",2018,29,"Persian, Iranian, Farsi",72613,0.00718666860256296,8
"277",2018,30,"Other Persian dialects",314,3.10772718549677e-05,52
"278",2018,31,"Hindi and related",79249,0.00784344814405839,7
"279",2018,33,"Finnish",606,5.99771552360205e-05,46
"280",2018,34,"Magyar, Hungarian",5861,0.000580076083891611,27
"281",2018,36,"Turkish",6100,0.000603730440494596,25
"282",2018,37,"Other Altaic",759,7.51199023500653e-05,45
"283",2018,40,"Dravidian",18831,0.00186374556146782,19
"284",2018,43,"Chinese",401703,0.0397574310062296,3
"285",2018,44,"Tibetan",1455,0.000144004555888465,39
"286",2018,45,"Burmese, Lisu, Lolo",4186,0.000414297643263996,30
"287",2018,47,"Thai, Siamese, Lao",26295,0.00260247408734514,14
"288",2018,48,"Japanese",49664,0.0049153555076596,10
"289",2018,49,"Korean",181622,0.0179755295186081,5
